1	1 	113.004649	28.197634
1	2 	113.004146	28.200754
1	3 	112.997211	28.200723
1	4 	112.99369	28.200882
1	5 	112.990097	28.201073
1	6 	112.984527	28.2012
1	7 	112.977808	28.202123
1	8 	112.973173	28.203269
1	9 	112.968789	28.20381
1	10 	112.964405	28.203046
1	11 	112.96383	28.200532
1	12 	112.963507	28.193814
1	13 	112.963938	28.189867
1	14 	112.963866	28.182385
1	15 	112.965914	28.178596
1	16 	112.965304	28.175826
1	17 	112.964765	28.172578
1	18 	112.965339	28.168916
1	19 	112.967998	28.16847
2	1 	112.972444	28.242832
2	2 	112.974744	28.241177
2	3 	112.975606	28.238759
2	4 	112.976469	28.235449
2	5 	112.975463	28.231885
2	6 	112.976685	28.229912
2	7 	112.97744	28.228988
2	8 	112.979236	28.226283
2	9 	112.981823	28.222719
2	10 	112.981644	28.218486
2	11 	112.981249	28.214157
2	12 	112.978661	28.211515
2	13 	112.976829	28.210337
2	14 	112.976218	28.206072
2	15 	112.976038	28.203748
2	16 	112.973236	28.203175
2	17 	112.96896	28.203748
2	18 	112.964396	28.202952
2	19 	112.963786	28.200501
2	20 	112.964684	28.195153
2	21 	112.966983	28.194898
2	22 	112.972481	28.194452
2	23 	112.97532	28.192669
2	24 	112.974853	28.187002
2	25 	112.970792	28.185442
2	26 	112.970289	28.182672
2	27 	112.971547	28.180889
2	28 	112.974008	28.178518
2	29 	112.978805	28.175923
2	30 	112.984033	28.173519
2	31 	112.987932	28.172786
2	32 	112.988956	28.167277
2	33 	112.989046	28.163297
2	34 	112.988902	28.160112
2	35 	112.988525	28.154571
2	36 	112.99312	28.151773
2	37 	112.996534	28.152792
2	38 	112.998797	28.153525
4	1 	112.968632	28.181902
4	2 	112.971219	28.181011
4	3 	112.973591	28.178974
4	4 	112.979412	28.17579
4	5 	112.979771	28.171777
4	6 	112.980778	28.167702
4	7 	112.979268	28.161524
4	8 	112.977112	28.157893
4	9 	112.973735	28.1556
4	10 	112.970142	28.153307
4	11 	112.967842	28.151014
4	12 	112.96698	28.148084
4	13 	112.967051	28.145154
4	14 	112.965973	28.139994
4	15 	112.964033	28.137063
